agent,n_episodes,P,M,D,share_exhaustion,D_all,scenario,M_per_product,D_per_product,break_even_m,break_even_h
least_busy,3,809.0,915.0,219.66666666666666,0.6160849772382397,219.66666666666666,small_scale,1.131025957972806,0.27152863617634937,0.8841530054644808,3.6828528072837634
grpo_mlp,3,808.0,927.0,224.33333333333334,0.6166419019316494,224.33333333333334,small_scale,1.1472772277227723,0.27764026402640263,0.8716289104638619,3.601783060921248
grpo_mlp_last,3,808.0,927.0,224.33333333333334,,224.33333333333334,small_scale,1.1472772277227723,0.27764026402640263,0.8716289104638619,3.601783060921248
a2c_mlp,3,798.0,914.6666666666666,229.0,0.6229985443959243,229.0,small_scale,1.1461988304093567,0.2869674185463659,0.8724489795918368,3.48471615720524
empirical_spt,3,784.3333333333334,1086.0,266.3333333333333,0.6745932415519399,266.3333333333333,small_scale,1.3846153846153846,0.33956651083722905,0.7222222222222222,2.9449311639549443
least_fatigued,3,777.6666666666666,897.6666666666666,244.66666666666666,0.6852861035422343,244.66666666666666,small_scale,1.1543077582511787,0.3146163737676811,0.8663200891199406,3.178474114441417
shortest_queue,3,777.6666666666666,897.6666666666666,244.66666666666666,0.6852861035422343,244.66666666666666,small_scale,1.1543077582511787,0.3146163737676811,0.8663200891199406,3.178474114441417
hc_v6_last,3,776.3333333333334,915.0,235.33333333333334,,235.33333333333334,small_scale,1.1786174323744096,0.30313439244310864,0.8484517304189436,3.2988668555240794
round_robin,3,772.6666666666666,931.3333333333334,254.33333333333334,0.692005242463958,254.33333333333334,small_scale,1.2053494391717,0.3291630716134599,0.8296349319971367,3.038007863695937
ft_quality,3,762.6666666666666,909.3333333333334,243.66666666666666,0.655266757865937,243.66666666666666,small_scale,1.1923076923076925,0.319493006993007,0.8387096774193548,3.1299589603283176
ft_quality_last,3,762.6666666666666,909.3333333333334,243.66666666666666,,243.66666666666666,small_scale,1.1923076923076925,0.319493006993007,0.8387096774193548,3.1299589603283176
empirical_topsis,5,1935.2,4251.6,487.6,0.645611156685808,487.6,baseline,2.196982224059529,0.2519636213311286,0.45516981842130017,3.9688269073010662
ft_protect_last,5,1931.4,4136.0,479.4,,479.4,baseline,2.14145179662421,0.24821373097235164,0.46697292069632496,4.028785982478098
hc_v6_last,5,1912.0,4120.8,488.4,,488.4,baseline,2.155230125523013,0.25543933054393303,0.463987575228111,3.914823914823915
hc_v6,5,1908.6,4115.2,470.6,0.6506587335316617,470.6,baseline,2.1561353871948024,0.24656816514722835,0.46379276827371696,4.055673608159796
topsis,5,1886.0,4123.0,478.2,,478.2,baseline,2.1861081654294803,0.2535524920466596,0.45743390734901773,3.943956503554998
po_v6,5,1871.4,4002.0,412.8,,412.8,baseline,2.1385059313882655,0.22058352035908946,0.467616191904048,4.53343023255814
po_v6_last,5,1871.4,4002.0,412.8,,412.8,baseline,2.1385059313882655,0.22058352035908946,0.467616191904048,4.53343023255814
ft_gini,5,1868.8,4040.8,471.2,,471.2,baseline,2.162243150684932,0.2521404109589041,0.4624826766976836,3.966044142614601
greedy_reward,5,1851.6,3957.4,457.6,,457.6,baseline,2.1372866709872542,0.24713761071505727,0.46788295345428815,4.046328671328671
batch_milp,5,1826.6,4121.6,377.0,0.5543766578249337,377.0,baseline,2.256432716522501,0.2063943939559838,0.44317740683229806,4.845092838196286
optimal_assignment,5,1826.6,4121.6,377.0,,377.0,baseline,2.256432716522501,0.2063943939559838,0.44317740683229806,4.845092838196286
shortest_processing,5,1826.6,4121.6,377.0,,377.0,baseline,2.256432716522501,0.2063943939559838,0.44317740683229806,4.845092838196286
least_fatigued,5,1810.2,3866.6,457.8,0.635211882918305,457.8,baseline,2.136007071041874,0.2529002320185615,0.46816324419386546,3.9541284403669725
shortest_queue,5,1810.2,3866.6,457.8,0.635211882918305,457.8,baseline,2.136007071041874,0.2529002320185615,0.46816324419386546,3.9541284403669725
reserve_specialist,5,1808.4,4008.4,471.4,,471.4,baseline,2.21654501216545,0.26067241760672416,0.45115257958287597,3.83623249893933
ft_protect,5,1728.8,3927.0,439.8,,439.8,baseline,2.2715178158260065,0.25439611291068953,0.44023427552839317,3.93087767166894
empirical_spt,5,1711.4,4957.6,410.8,0.5749756572541382,410.8,baseline,2.896809629543064,0.2400373962837443,0.34520735839922545,4.16601752677702
ft_quality,5,1697.4,3740.2,451.8,0.6228419654714475,451.8,baseline,2.2034876870507834,0.26617179215270415,0.4538259986097001,3.756972111553785
ft_quality_last,5,1697.4,3740.2,451.8,,451.8,baseline,2.2034876870507834,0.26617179215270415,0.4538259986097001,3.756972111553785
round_robin,5,1669.4,3646.2,459.2,0.6476480836236933,459.2,baseline,2.184138013657601,0.27506888702527854,0.4578465251494707,3.635452961672474
ft_fatigue,5,1665.8,3857.2,437.0,,437.0,baseline,2.315524072517709,0.2623364149357666,0.4318676760344291,3.811899313501144
random,5,1664.8,3634.8,477.4,0.647255969836615,477.4,baseline,2.183325324363287,0.2867611725132148,0.4580169472873335,3.4872224549643906
ft_fatigue_last,5,1642.4,3795.6,433.0,,433.0,baseline,2.3110082805650265,0.2636385776911836,0.43271156075455797,3.7930715935334876
dql_mlp,5,1583.4,3453.6,369.6,0.5335497835497836,369.6,baseline,2.181129215611974,0.23342175066312998,0.4584781097984712,4.284090909090909
